Comunidad,Grupo Penal,Año,Hechos conocidos
Castilla y León,Contra la propiedad industrial/intelectual,2012,6.0
Castilla y León,Contra la propiedad industrial/intelectual,2011,21.0
Castilla y León,Delitos sexuales,2019,91.0
Castilla y León,Delitos sexuales,2018,62.0
Castilla y León,Delitos sexuales,2017,61.0
Castilla y León,Delitos sexuales,2016,58.0
Castilla y León,Delitos sexuales,2015,44.0
Castilla y León,Delitos sexuales,2014,42.0
Castilla y León,Delitos sexuales,2013,21.0
Castilla y León,Delitos sexuales,2012,30.0
Castilla y León,Delitos sexuales,2011,24.0
Castilla y León,Falsificación informática,2019,303.0
Castilla y León,Falsificación informática,2018,263.0
Castilla y León,Falsificación informática,2017,245.0
Castilla y León,Falsificación informática,2016,170.0
Castilla y León,Falsificación informática,2015,99.0
Castilla y León,Falsificación informática,2014,68.0
Castilla y León,Falsificación informática,2013,56.0
Castilla y León,Falsificación informática,2012,36.0
Castilla y León,Falsificación informática,2011,42.0
Castilla y León,Fraude informático,2019,9464.0
Castilla y León,Fraude informático,2018,6511.0
Castilla y León,Fraude informático,2017,4606.0
Castilla y León,Fraude informático,2016,3370.0
Castilla y León,Fraude informático,2015,2411.0
Castilla y León,Fraude informático,2014,1874.0
Castilla y León,Fraude informático,2013,1403.0
Castilla y León,Fraude informático,2012,1172.0
Castilla y León,Fraude informático,2011,849.0
Castilla y León,Interferencia en los datos y en el sistema,2019,76.0
Castilla y León,Interferencia en los datos y en el sistema,2018,93.0
Castilla y León,Interferencia en los datos y en el sistema,2017,79.0
Castilla y León,Interferencia en los datos y en el sistema,2016,102.0
Castilla y León,Interferencia en los datos y en el sistema,2015,64.0
Castilla y León,Interferencia en los datos y en el sistema,2014,21.0
Castilla y León,Interferencia en los datos y en el sistema,2013,17.0
Castilla y León,Interferencia en los datos y en el sistema,2012,11.0
Castilla y León,Interferencia en los datos y en el sistema,2011,16.0
Castilla - La Mancha,Acceso e interceptación ilícita,2019,107.0
Castilla - La Mancha,Acceso e interceptación ilícita,2018,93.0
Castilla - La Mancha,Acceso e interceptación ilícita,2017,79.0
Castilla - La Mancha,Acceso e interceptación ilícita,2016,79.0
Castilla - La Mancha,Acceso e interceptación ilícita,2015,86.0
Castilla - La Mancha,Acceso e interceptación ilícita,2014,73.0
Castilla - La Mancha,Acceso e interceptación ilícita,2013,75.0
Castilla - La Mancha,Acceso e interceptación ilícita,2012,60.0
Castilla - La Mancha,Acceso e interceptación ilícita,2011,44.0
Castilla - La Mancha,Amenazas y coacciones,2019,628.0
Castilla - La Mancha,Amenazas y coacciones,2018,642.0
Castilla - La Mancha,Amenazas y coacciones,2017,591.0
Castilla - La Mancha,Amenazas y coacciones,2016,617.0
Castilla - La Mancha,Amenazas y coacciones,2015,586.0
Castilla - La Mancha,Amenazas y coacciones,2014,603.0
Castilla - La Mancha,Amenazas y coacciones,2013,568.0
Castilla - La Mancha,Amenazas y coacciones,2012,539.0
Castilla - La Mancha,Amenazas y coacciones,2011,591.0
Castilla - La Mancha,Contra el honor,2019,94.0
Castilla - La Mancha,Contra el honor,2018,90.0
Castilla - La Mancha,Contra el honor,2017,125.0
Castilla - La Mancha,Contra el honor,2016,134.0
Castilla - La Mancha,Contra el honor,2015,179.0
Castilla - La Mancha,Contra el honor,2014,187.0
Castilla - La Mancha,Contra el honor,2013,177.0
Castilla - La Mancha,Contra el honor,2012,163.0
Castilla - La Mancha,Contra el honor,2011,156.0
Castilla - La Mancha,Contra la propiedad industrial/intelectual,2019,4.0
Castilla - La Mancha,Contra la propiedad industrial/intelectual,2018,13.0
Castilla - La Mancha,Contra la propiedad industrial/intelectual,2017,9.0
Castilla - La Mancha,Contra la propiedad industrial/intelectual,2016,5.0
Castilla - La Mancha,Contra la propiedad industrial/intelectual,2015,7.0
Castilla - La Mancha,Contra la propiedad industrial/intelectual,2014,3.0
Castilla - La Mancha,Contra la propiedad industrial/intelectual,2013,4.0
Castilla - La Mancha,Contra la propiedad industrial/intelectual,2012,5.0
Castilla - La Mancha,Contra la propiedad industrial/intelectual,2011,7.0
Castilla - La Mancha,Delitos sexuales,2019,71.0
Castilla - La Mancha,Delitos sexuales,2018,72.0
Castilla - La Mancha,Delitos sexuales,2017,51.0
Castilla - La Mancha,Delitos sexuales,2016,43.0
Castilla - La Mancha,Delitos sexuales,2015,52.0
Castilla - La Mancha,Delitos sexuales,2014,29.0
Castilla - La Mancha,Delitos sexuales,2013,24.0
Castilla - La Mancha,Delitos sexuales,2012,23.0
Castilla - La Mancha,Delitos sexuales,2011,30.0
Castilla - La Mancha,Falsificación informática,2019,284.0
Castilla - La Mancha,Falsificación informática,2018,277.0
Castilla - La Mancha,Falsificación informática,2017,226.0
Castilla - La Mancha,Falsificación informática,2016,178.0
Castilla - La Mancha,Falsificación informática,2015,146.0
Castilla - La Mancha,Falsificación informática,2014,144.0
Castilla - La Mancha,Falsificación informática,2013,114.0
Castilla - La Mancha,Falsificación informática,2012,105.0
Castilla - La Mancha,Falsificación informática,2011,114.0
Castilla - La Mancha,Fraude informático,2019,6445.0
Castilla - La Mancha,Fraude informático,2018,4789.0
Castilla - La Mancha,Fraude informático,2017,2796.0
Castilla - La Mancha,Fraude informático,2016,2075.0
Castilla - La Mancha,Fraude informático,2015,2012.0
Castilla - La Mancha,Fraude informático,2014,1509.0
Castilla - La Mancha,Fraude informático,2013,1255.0
Castilla - La Mancha,Fraude informático,2012,1092.0
Castilla - La Mancha,Fraude informático,2011,861.0
Castilla - La Mancha,Interferencia en los datos y en el sistema,2019,54.0
Castilla - La Mancha,Interferencia en los datos y en el sistema,2018,30.0
Castilla - La Mancha,Interferencia en los datos y en el sistema,2017,56.0
Castilla - La Mancha,Interferencia en los datos y en el sistema,2016,53.0
Castilla - La Mancha,Interferencia en los datos y en el sistema,2015,25.0
Castilla - La Mancha,Interferencia en los datos y en el sistema,2014,16.0
Castilla - La Mancha,Interferencia en los datos y en el sistema,2013,10.0
Castilla - La Mancha,Interferencia en los datos y en el sistema,2012,9.0
Castilla - La Mancha,Interferencia en los datos y en el sistema,2011,11.0
Cataluña,Acceso e interceptación ilícita,2019,508.0
Cataluña,Acceso e interceptación ilícita,2018,475.0
Cataluña,Acceso e interceptación ilícita,2017,516.0
Cataluña,Acceso e interceptación ilícita,2016,532.0
Cataluña,Acceso e interceptación ilícita,2015,407.0
Cataluña,Acceso e interceptación ilícita,2014,26.0
Cataluña,Acceso e interceptación ilícita,2013,10.0
Cataluña,Acceso e interceptación ilícita,2012,17.0
Cataluña,Acceso e interceptación ilícita,2011,17.0
Cataluña,Amenazas y coacciones,2019,507.0
Cataluña,Amenazas y coacciones,2018,558.0
Cataluña,Amenazas y coacciones,2017,355.0
Cataluña,Amenazas y coacciones,2016,385.0
Cataluña,Amenazas y coacciones,2015,322.0
Cataluña,Amenazas y coacciones,2014,39.0
Cataluña,Amenazas y coacciones,2013,35.0
Cataluña,Amenazas y coacciones,2012,33.0
Cataluña,Amenazas y coacciones,2011,20.0
Cataluña,Contra el honor,2019,28.0
Cataluña,Contra el honor,2018,35.0
Cataluña,Contra el honor,2017,42.0
Cataluña,Contra el honor,2016,32.0
Cataluña,Contra el honor,2015,85.0
Cataluña,Contra el honor,2014,11.0
Cataluña,Contra el honor,2013,18.0
Cataluña,Contra el honor,2012,19.0
Cataluña,Contra el honor,2011,14.0
Cataluña,Contra la propiedad industrial/intelectual,2019,17.0
Cataluña,Contra la propiedad industrial/intelectual,2018,47.0
Cataluña,Contra la propiedad industrial/intelectual,2017,24.0
Cataluña,Contra la propiedad industrial/intelectual,2016,23.0
Cataluña,Contra la propiedad industrial/intelectual,2015,33.0
Cataluña,Contra la propiedad industrial/intelectual,2014,60.0
Cataluña,Contra la propiedad industrial/intelectual,2013,39.0
Cataluña,Contra la propiedad industrial/intelectual,2012,20.0
Cataluña,Contra la propiedad industrial/intelectual,2011,26.0
Cataluña,Delitos sexuales,2019,218.0
Cataluña,Delitos sexuales,2018,218.0
Cataluña,Delitos sexuales,2017,111.0
Cataluña,Delitos sexuales,2016,108.0
Cataluña,Delitos sexuales,2015,166.0
Cataluña,Delitos sexuales,2014,92.0
Cataluña,Delitos sexuales,2013,41.0
Cataluña,Delitos sexuales,2012,74.0
Cataluña,Delitos sexuales,2011,73.0
Cataluña,Falsificación informática,2019,130.0
Cataluña,Falsificación informática,2018,103.0
Cataluña,Falsificación informática,2017,123.0
Cataluña,Falsificación informática,2016,113.0
Cataluña,Falsificación informática,2015,97.0
Cataluña,Falsificación informática,2014,56.0
Cataluña,Falsificación informática,2013,53.0
Cataluña,Falsificación informática,2012,47.0
Cataluña,Falsificación informática,2011,45.0
Cataluña,Fraude informático,2019,40016.0
Cataluña,Fraude informático,2018,36808.0
Cataluña,Fraude informático,2017,26574.0
Cataluña,Fraude informático,2016,18077.0
Cataluña,Fraude informático,2015,15791.0
Cataluña,Fraude informático,2014,593.0
Cataluña,Fraude informático,2013,585.0
Cataluña,Fraude informático,2012,583.0
Cataluña,Fraude informático,2011,491.0
Cataluña,Interferencia en los datos y en el sistema,2019,153.0
Cataluña,Interferencia en los datos y en el sistema,2018,125.0
Cataluña,Interferencia en los datos y en el sistema,2017,136.0
Cataluña,Interferencia en los datos y en el sistema,2016,164.0
Cataluña,Interferencia en los datos y en el sistema,2015,203.0
Cataluña,Interferencia en los datos y en el sistema,2014,3.0
Cataluña,Interferencia en los datos y en el sistema,2013,11.0
Cataluña,Interferencia en los datos y en el sistema,2012,10.0
Cataluña,Interferencia en los datos y en el sistema,2011,2.0
Comunidad Valenciana,Acceso e interceptación ilícita,2019,342.0
Comunidad Valenciana,Acceso e interceptación ilícita,2018,300.0
Comunidad Valenciana,Acceso e interceptación ilícita,2017,291.0
Comunidad Valenciana,Acceso e interceptación ilícita,2016,301.0
Comunidad Valenciana,Acceso e interceptación ilícita,2015,255.0
Comunidad Valenciana,Acceso e interceptación ilícita,2014,211.0
Comunidad Valenciana,Acceso e interceptación ilícita,2013,184.0
Comunidad Valenciana,Acceso e interceptación ilícita,2012,190.0
Comunidad Valenciana,Acceso e interceptación ilícita,2011,137.0
Comunidad Valenciana,Amenazas y coacciones,2019,1575.0
Comunidad Valenciana,Amenazas y coacciones,2018,1602.0
Comunidad Valenciana,Amenazas y coacciones,2017,1525.0
Comunidad Valenciana,Amenazas y coacciones,2016,1445.0
Comunidad Valenciana,Amenazas y coacciones,2015,1264.0
Comunidad Valenciana,Amenazas y coacciones,2014,1240.0
Comunidad Valenciana,Amenazas y coacciones,2013,1119.0
Comunidad Valenciana,Amenazas y coacciones,2012,1152.0
Comunidad Valenciana,Amenazas y coacciones,2011,1178.0
Comunidad Valenciana,Contra el honor,2019,216.0
Comunidad Valenciana,Contra el honor,2018,186.0
Comunidad Valenciana,Contra el honor,2017,221.0
Comunidad Valenciana,Contra el honor,2016,212.0
Comunidad Valenciana,Contra el honor,2015,324.0
Comunidad Valenciana,Contra el honor,2014,326.0
Comunidad Valenciana,Contra el honor,2013,292.0
Comunidad Valenciana,Contra el honor,2012,296.0
Comunidad Valenciana,Contra el honor,2011,258.0
Comunidad Valenciana,Contra la propiedad industrial/intelectual,2019,31.0
Comunidad Valenciana,Contra la propiedad industrial/intelectual,2018,46.0
Comunidad Valenciana,Contra la propiedad industrial/intelectual,2017,22.0
Comunidad Valenciana,Contra la propiedad industrial/intelectual,2016,17.0
Comunidad Valenciana,Contra la propiedad industrial/intelectual,2015,18.0
Comunidad Valenciana,Contra la propiedad industrial/intelectual,2014,19.0
Comunidad Valenciana,Contra la propiedad industrial/intelectual,2013,18.0
Comunidad Valenciana,Contra la propiedad industrial/intelectual,2012,25.0
Comunidad Valenciana,Contra la propiedad industrial/intelectual,2011,23.0
Comunidad Valenciana,Delitos sexuales,2019,238.0
Comunidad Valenciana,Delitos sexuales,2018,170.0
Comunidad Valenciana,Delitos sexuales,2017,188.0
Comunidad Valenciana,Delitos sexuales,2016,190.0
Comunidad Valenciana,Delitos sexuales,2015,215.0
Comunidad Valenciana,Delitos sexuales,2014,145.0
Comunidad Valenciana,Delitos sexuales,2013,127.0
Comunidad Valenciana,Delitos sexuales,2012,107.0
Comunidad Valenciana,Delitos sexuales,2011,135.0
Comunidad Valenciana,Falsificación informática,2019,656.0
Comunidad Valenciana,Falsificación informática,2018,480.0
Comunidad Valenciana,Falsificación informática,2017,466.0
Comunidad Valenciana,Falsificación informática,2016,491.0
Comunidad Valenciana,Falsificación informática,2015,345.0
Comunidad Valenciana,Falsificación informática,2014,264.0
Comunidad Valenciana,Falsificación informática,2013,237.0
Comunidad Valenciana,Falsificación informática,2012,270.0
Comunidad Valenciana,Falsificación informática,2011,339.0
Comunidad Valenciana,Fraude informático,2019,15758.0
Comunidad Valenciana,Fraude informático,2018,11283.0
Comunidad Valenciana,Fraude informático,2017,7989.0
Comunidad Valenciana,Fraude informático,2016,6246.0
Comunidad Valenciana,Fraude informático,2015,5004.0
Comunidad Valenciana,Fraude informático,2014,3898.0
Comunidad Valenciana,Fraude informático,2013,3133.0
Comunidad Valenciana,Fraude informático,2012,3193.0
Comunidad Valenciana,Fraude informático,2011,2451.0
Comunidad Valenciana,Interferencia en los datos y en el sistema,2019,167.0
Comunidad Valenciana,Interferencia en los datos y en el sistema,2018,122.0
Comunidad Valenciana,Interferencia en los datos y en el sistema,2017,140.0
Comunidad Valenciana,Interferencia en los datos y en el sistema,2016,141.0
Comunidad Valenciana,Interferencia en los datos y en el sistema,2015,176.0
Comunidad Valenciana,Interferencia en los datos y en el sistema,2014,71.0
Comunidad Valenciana,Interferencia en los datos y en el sistema,2013,36.0
Comunidad Valenciana,Interferencia en los datos y en el sistema,2012,45.0
Comunidad Valenciana,Interferencia en los datos y en el sistema,2011,38.0
Extremadura,Acceso e interceptación ilícita,2019,79.0
Extremadura,Acceso e interceptación ilícita,2018,74.0
Extremadura,Acceso e interceptación ilícita,2017,66.0
Extremadura,Acceso e interceptación ilícita,2016,61.0
Extremadura,Acceso e interceptación ilícita,2015,68.0
Extremadura,Acceso e interceptación ilícita,2014,54.0
Extremadura,Acceso e interceptación ilícita,2013,50.0
Extremadura,Acceso e interceptación ilícita,2012,57.0
Extremadura,Acceso e interceptación ilícita,2011,55.0
Extremadura,Amenazas y coacciones,2019,295.0
Extremadura,Amenazas y coacciones,2018,316.0
Extremadura,Amenazas y coacciones,2017,274.0
Extremadura,Amenazas y coacciones,2016,254.0
Extremadura,Amenazas y coacciones,2015,199.0
Extremadura,Amenazas y coacciones,2014,196.0
Extremadura,Amenazas y coacciones,2013,179.0
Extremadura,Amenazas y coacciones,2012,164.0
Extremadura,Amenazas y coacciones,2011,204.0
Extremadura,Contra el honor,2019,51.0
Extremadura,Contra el honor,2018,51.0
Extremadura,Contra el honor,2017,59.0
Extremadura,Contra el honor,2016,44.0
Extremadura,Contra el honor,2015,57.0
Extremadura,Contra el honor,2014,83.0
Extremadura,Contra el honor,2013,57.0
Extremadura,Contra el honor,2012,75.0
Extremadura,Contra el honor,2011,87.0
Extremadura,Contra la propiedad industrial/intelectual,2019,12.0
Extremadura,Contra la propiedad industrial/intelectual,2018,14.0
Extremadura,Contra la propiedad industrial/intelectual,2017,2.0
Extremadura,Contra la propiedad industrial/intelectual,2016,1.0
Extremadura,Contra la propiedad industrial/intelectual,2015,2.0
Extremadura,Contra la propiedad industrial/intelectual,2014,2.0
Extremadura,Contra la propiedad industrial/intelectual,2013,3.0
Extremadura,Contra la propiedad industrial/intelectual,2012,6.0
Extremadura,Contra la propiedad industrial/intelectual,2011,4.0
Extremadura,Delitos sexuales,2019,25.0
Extremadura,Delitos sexuales,2018,31.0
Extremadura,Delitos sexuales,2017,33.0
Extremadura,Delitos sexuales,2016,24.0
Extremadura,Delitos sexuales,2015,32.0
Extremadura,Delitos sexuales,2014,31.0
Extremadura,Delitos sexuales,2013,16.0
Extremadura,Delitos sexuales,2012,11.0
Extremadura,Delitos sexuales,2011,18.0
Extremadura,Falsificación informática,2019,158.0
Extremadura,Falsificación informática,2018,138.0
Extremadura,Falsificación informática,2017,102.0
Extremadura,Falsificación informática,2016,76.0
Extremadura,Falsificación informática,2015,64.0
Extremadura,Falsificación informática,2014,74.0
Extremadura,Falsificación informática,2013,59.0
Extremadura,Falsificación informática,2012,70.0
Extremadura,Falsificación informática,2011,56.0
Extremadura,Fraude informático,2019,2410.0
Extremadura,Fraude informático,2018,1879.0
Extremadura,Fraude informático,2017,1031.0
Extremadura,Fraude informático,2016,852.0
Extremadura,Fraude informático,2015,602.0
Extremadura,Fraude informático,2014,517.0
Extremadura,Fraude informático,2013,330.0
Extremadura,Fraude informático,2012,400.0
Extremadura,Fraude informático,2011,287.0
Extremadura,Interferencia en los datos y en el sistema,2019,19.0
Extremadura,Interferencia en los datos y en el sistema,2018,17.0
Extremadura,Interferencia en los datos y en el sistema,2017,24.0
Extremadura,Interferencia en los datos y en el sistema,2016,15.0
Extremadura,Interferencia en los datos y en el sistema,2015,12.0
Extremadura,Interferencia en los datos y en el sistema,2014,9.0
Extremadura,Interferencia en los datos y en el sistema,2013,8.0
Extremadura,Interferencia en los datos y en el sistema,2012,6.0
Extremadura,Interferencia en los datos y en el sistema,2011,7.0
Galicia,Acceso e interceptación ilícita,2019,219.0
Galicia,Acceso e interceptación ilícita,2018,157.0
Galicia,Acceso e interceptación ilícita,2017,185.0
Galicia,Acceso e interceptación ilícita,2016,182.0
Galicia,Acceso e interceptación ilícita,2015,149.0
Galicia,Acceso e interceptación ilícita,2014,134.0
Galicia,Acceso e interceptación ilícita,2013,114.0
Galicia,Acceso e interceptación ilícita,2012,110.0
Galicia,Acceso e interceptación ilícita,2011,68.0
Galicia,Amenazas y coacciones,2019,788.0
Galicia,Amenazas y coacciones,2018,875.0
Galicia,Amenazas y coacciones,2017,883.0
Galicia,Amenazas y coacciones,2016,854.0
Galicia,Amenazas y coacciones,2015,798.0
Galicia,Amenazas y coacciones,2014,757.0
Galicia,Amenazas y coacciones,2013,742.0
Galicia,Amenazas y coacciones,2012,782.0
Galicia,Amenazas y coacciones,2011,692.0
Galicia,Contra el honor,2019,123.0
Galicia,Contra el honor,2018,135.0
Galicia,Contra el honor,2017,132.0
Galicia,Contra el honor,2016,131.0
Galicia,Contra el honor,2015,202.0
Galicia,Contra el honor,2014,214.0
Galicia,Contra el honor,2013,143.0
Galicia,Contra el honor,2012,156.0
Galicia,Contra el honor,2011,155.0
Galicia,Contra la propiedad industrial/intelectual,2019,45.0
Galicia,Contra la propiedad industrial/intelectual,2018,7.0
Galicia,Contra la propiedad industrial/intelectual,2017,6.0
Galicia,Contra la propiedad industrial/intelectual,2016,6.0
Galicia,Contra la propiedad industrial/intelectual,2015,12.0
Galicia,Contra la propiedad industrial/intelectual,2014,6.0
Galicia,Contra la propiedad industrial/intelectual,2013,7.0
Galicia,Contra la propiedad industrial/intelectual,2012,7.0
Galicia,Contra la propiedad industrial/intelectual,2011,10.0
Galicia,Delitos sexuales,2019,90.0
Galicia,Delitos sexuales,2018,71.0
Galicia,Delitos sexuales,2017,72.0
Galicia,Delitos sexuales,2016,74.0
Galicia,Delitos sexuales,2015,57.0
Galicia,Delitos sexuales,2014,56.0
Galicia,Delitos sexuales,2013,37.0
Galicia,Delitos sexuales,2012,42.0
Galicia,Delitos sexuales,2011,41.0
Galicia,Falsificación informática,2019,261.0
Galicia,Falsificación informática,2018,209.0
Galicia,Falsificación informática,2017,192.0
Galicia,Falsificación informática,2016,169.0
Galicia,Falsificación informática,2015,146.0
Galicia,Falsificación informática,2014,104.0
Galicia,Falsificación informática,2013,94.0
Galicia,Falsificación informática,2012,79.0
Galicia,Falsificación informática,2011,90.0
Galicia,Fraude informático,2019,9999.0
Galicia,Fraude informático,2018,6836.0
Galicia,Fraude informático,2017,4428.0
Galicia,Fraude informático,2016,3070.0
Galicia,Fraude informático,2015,2628.0
Galicia,Fraude informático,2014,1882.0
Galicia,Fraude informático,2013,1518.0
Galicia,Fraude informático,2012,1456.0
Galicia,Fraude informático,2011,1070.0
Galicia,Interferencia en los datos y en el sistema,2019,106.0
Galicia,Interferencia en los datos y en el sistema,2018,74.0
Galicia,Interferencia en los datos y en el sistema,2017,75.0
Galicia,Interferencia en los datos y en el sistema,2016,75.0
Galicia,Interferencia en los datos y en el sistema,2015,73.0
Galicia,Interferencia en los datos y en el sistema,2014,23.0
Galicia,Interferencia en los datos y en el sistema,2013,22.0
Galicia,Interferencia en los datos y en el sistema,2012,13.0
Galicia,Interferencia en los datos y en el sistema,2011,9.0
Comunidad de Madrid,Acceso e interceptación ilícita,2019,753.0
Comunidad de Madrid,Acceso e interceptación ilícita,2018,624.0
Comunidad de Madrid,Acceso e interceptación ilícita,2017,506.0
Comunidad de Madrid,Acceso e interceptación ilícita,2016,558.0
Comunidad de Madrid,Acceso e interceptación ilícita,2015,509.0
Comunidad de Madrid,Acceso e interceptación ilícita,2014,321.0
Comunidad de Madrid,Acceso e interceptación ilícita,2013,309.0
Comunidad de Madrid,Acceso e interceptación ilícita,2012,365.0
Comunidad de Madrid,Acceso e interceptación ilícita,2011,251.0
Comunidad de Madrid,Amenazas y coacciones,2019,2090.0
Comunidad de Madrid,Amenazas y coacciones,2018,2029.0
Comunidad de Madrid,Amenazas y coacciones,2017,1806.0
Comunidad de Madrid,Amenazas y coacciones,2016,1854.0
Comunidad de Madrid,Amenazas y coacciones,2015,1613.0
Comunidad de Madrid,Amenazas y coacciones,2014,1316.0
Comunidad de Madrid,Amenazas y coacciones,2013,1345.0
Comunidad de Madrid,Amenazas y coacciones,2012,1495.0
Comunidad de Madrid,Amenazas y coacciones,2011,1604.0
Comunidad de Madrid,Contra el honor,2019,147.0
Comunidad de Madrid,Contra el honor,2018,149.0
Comunidad de Madrid,Contra el honor,2017,140.0
Comunidad de Madrid,Contra el honor,2016,141.0
Comunidad de Madrid,Contra el honor,2015,180.0
Comunidad de Madrid,Contra el honor,2014,152.0
Comunidad de Madrid,Contra el honor,2013,151.0
Comunidad de Madrid,Contra el honor,2012,127.0
Comunidad de Madrid,Contra el honor,2011,115.0
Comunidad de Madrid,Contra la propiedad industrial/intelectual,2019,35.0
Comunidad de Madrid,Contra la propiedad industrial/intelectual,2018,12.0
Comunidad de Madrid,Contra la propiedad industrial/intelectual,2017,15.0
Comunidad de Madrid,Contra la propiedad industrial/intelectual,2016,22.0
Comunidad de Madrid,Contra la propiedad industrial/intelectual,2015,20.0
Comunidad de Madrid,Contra la propiedad industrial/intelectual,2014,16.0
Comunidad de Madrid,Contra la propiedad industrial/intelectual,2013,53.0
Comunidad de Madrid,Contra la propiedad industrial/intelectual,2012,21.0
Comunidad de Madrid,Contra la propiedad industrial/intelectual,2011,72.0
Comunidad de Madrid,Delitos sexuales,2019,248.0
Comunidad de Madrid,Delitos sexuales,2018,205.0
Comunidad de Madrid,Delitos sexuales,2017,191.0
Comunidad de Madrid,Delitos sexuales,2016,160.0
Comunidad de Madrid,Delitos sexuales,2015,155.0
Comunidad de Madrid,Delitos sexuales,2014,118.0
Comunidad de Madrid,Delitos sexuales,2013,117.0
Comunidad de Madrid,Delitos sexuales,2012,91.0
Comunidad de Madrid,Delitos sexuales,2011,93.0
Comunidad de Madrid,Falsificación informática,2019,609.0
Comunidad de Madrid,Falsificación informática,2018,390.0
Comunidad de Madrid,Falsificación informática,2017,365.0
Comunidad de Madrid,Falsificación informática,2016,363.0
Comunidad de Madrid,Falsificación informática,2015,432.0
Comunidad de Madrid,Falsificación informática,2014,266.0
Comunidad de Madrid,Falsificación informática,2013,229.0
Comunidad de Madrid,Falsificación informática,2012,272.0
Comunidad de Madrid,Falsificación informática,2011,363.0
Comunidad de Madrid,Fraude informático,2019,32841.0
Comunidad de Madrid,Fraude informático,2018,16509.0
Comunidad de Madrid,Fraude informático,2017,8887.0
Comunidad de Madrid,Fraude informático,2016,7210.0
Comunidad de Madrid,Fraude informático,2015,7001.0
Comunidad de Madrid,Fraude informático,2014,5128.0
Comunidad de Madrid,Fraude informático,2013,4625.0
Comunidad de Madrid,Fraude informático,2012,4826.0
Comunidad de Madrid,Fraude informático,2011,3665.0
Comunidad de Madrid,Interferencia en los datos y en el sistema,2019,293.0
Comunidad de Madrid,Interferencia en los datos y en el sistema,2018,216.0
Comunidad de Madrid,Interferencia en los datos y en el sistema,2017,259.0
Comunidad de Madrid,Interferencia en los datos y en el sistema,2016,256.0
Comunidad de Madrid,Interferencia en los datos y en el sistema,2015,185.0
Comunidad de Madrid,Interferencia en los datos y en el sistema,2014,90.0
Comunidad de Madrid,Interferencia en los datos y en el sistema,2013,79.0
Comunidad de Madrid,Interferencia en los datos y en el sistema,2012,67.0
Comunidad de Madrid,Interferencia en los datos y en el sistema,2011,34.0
Murcia,Acceso e interceptación ilícita,2019,84.0
Murcia,Acceso e interceptación ilícita,2018,79.0
Murcia,Acceso e interceptación ilícita,2017,60.0
Murcia,Acceso e interceptación ilícita,2016,61.0
Murcia,Acceso e interceptación ilícita,2015,64.0
Murcia,Acceso e interceptación ilícita,2014,46.0
Murcia,Acceso e interceptación ilícita,2013,59.0
Murcia,Acceso e interceptación ilícita,2012,58.0
Murcia,Acceso e interceptación ilícita,2011,53.0
Murcia,Amenazas y coacciones,2019,323.0
Murcia,Amenazas y coacciones,2018,320.0
Murcia,Amenazas y coacciones,2017,342.0
Murcia,Amenazas y coacciones,2016,318.0
Murcia,Amenazas y coacciones,2015,279.0
Murcia,Amenazas y coacciones,2014,247.0
Murcia,Amenazas y coacciones,2013,239.0
Murcia,Amenazas y coacciones,2012,253.0
Murcia,Amenazas y coacciones,2011,297.0
Murcia,Contra el honor,2019,39.0
Murcia,Contra el honor,2018,38.0
Murcia,Contra el honor,2017,43.0
Murcia,Contra el honor,2016,44.0
Murcia,Contra el honor,2015,74.0
Murcia,Contra el honor,2014,75.0
