Comunidad,Grupo Penal,Año,Hechos conocidos,Hechos esclarecidos
Canarias,Delitos sexuales,2014,57.0,43.0
Canarias,Delitos sexuales,2013,50.0,32.0
Canarias,Delitos sexuales,2012,70.0,49.0
Canarias,Delitos sexuales,2011,52.0,24.0
Canarias,Falsificación informática,2019,205.0,79.0
Canarias,Falsificación informática,2018,152.0,51.0
Canarias,Falsificación informática,2017,209.0,126.0
Canarias,Falsificación informática,2016,97.0,42.0
Canarias,Falsificación informática,2015,110.0,36.0
Canarias,Falsificación informática,2014,66.0,31.0
Canarias,Falsificación informática,2013,69.0,19.0
Canarias,Falsificación informática,2012,51.0,16.0
Canarias,Falsificación informática,2011,83.0,17.0
Canarias,Fraude informático,2019,7286.0,985.0
Canarias,Fraude informático,2018,3097.0,646.0
Canarias,Fraude informático,2017,2172.0,535.0
Canarias,Fraude informático,2016,1696.0,386.0
Canarias,Fraude informático,2015,1838.0,334.0
Canarias,Fraude informático,2014,1371.0,297.0
Canarias,Fraude informático,2013,1161.0,282.0
Canarias,Fraude informático,2012,2118.0,271.0
Canarias,Fraude informático,2011,1384.0,222.0
Canarias,Interferencia en los datos y en el sistema,2019,64.0,8.0
Canarias,Interferencia en los datos y en el sistema,2018,45.0,3.0
Canarias,Interferencia en los datos y en el sistema,2017,49.0,2.0
Canarias,Interferencia en los datos y en el sistema,2016,47.0,3.0
Canarias,Interferencia en los datos y en el sistema,2015,39.0,5.0
Canarias,Interferencia en los datos y en el sistema,2014,12.0,2.0
Canarias,Interferencia en los datos y en el sistema,2013,19.0,4.0
Canarias,Interferencia en los datos y en el sistema,2012,7.0,0.0
Canarias,Interferencia en los datos y en el sistema,2011,5.0,3.0
Cantabria,Acceso e interceptación ilícita,2019,50.0,14.0
Cantabria,Acceso e interceptación ilícita,2018,36.0,10.0
Cantabria,Acceso e interceptación ilícita,2017,43.0,9.0
Cantabria,Acceso e interceptación ilícita,2016,38.0,6.0
Cantabria,Acceso e interceptación ilícita,2015,45.0,14.0
Cantabria,Acceso e interceptación ilícita,2014,21.0,9.0
Cantabria,Acceso e interceptación ilícita,2013,25.0,20.0
Cantabria,Acceso e interceptación ilícita,2012,23.0,10.0
Cantabria,Acceso e interceptación ilícita,2011,31.0,4.0
Cantabria,Amenazas y coacciones,2019,189.0,137.0
Cantabria,Amenazas y coacciones,2018,197.0,147.0
Cantabria,Amenazas y coacciones,2017,193.0,143.0
Cantabria,Amenazas y coacciones,2016,170.0,134.0
Cantabria,Amenazas y coacciones,2015,172.0,114.0
Cantabria,Amenazas y coacciones,2014,173.0,144.0
Cantabria,Amenazas y coacciones,2013,136.0,109.0
Cantabria,Amenazas y coacciones,2012,124.0,100.0
Cantabria,Amenazas y coacciones,2011,125.0,90.0
Cantabria,Contra el honor,2019,16.0,9.0
Cantabria,Contra el honor,2018,15.0,14.0
Cantabria,Contra el honor,2017,14.0,12.0
Cantabria,Contra el honor,2016,18.0,14.0
Cantabria,Contra el honor,2015,38.0,20.0
Cantabria,Contra el honor,2014,38.0,23.0
Cantabria,Contra el honor,2013,30.0,20.0
Cantabria,Contra el honor,2012,27.0,19.0
Cantabria,Contra el honor,2011,17.0,9.0
Cantabria,Contra la propiedad industrial/intelectual,2019,0.0,0.0
Cantabria,Contra la propiedad industrial/intelectual,2018,0.0,0.0
Cantabria,Contra la propiedad industrial/intelectual,2017,0.0,0.0
Cantabria,Contra la propiedad industrial/intelectual,2016,0.0,0.0
Cantabria,Contra la propiedad industrial/intelectual,2015,3.0,3.0
Cantabria,Contra la propiedad industrial/intelectual,2014,2.0,1.0
Cantabria,Contra la propiedad industrial/intelectual,2013,1.0,2.0
Cantabria,Contra la propiedad industrial/intelectual,2012,1.0,0.0
Cantabria,Contra la propiedad industrial/intelectual,2011,0.0,0.0
Cantabria,Delitos sexuales,2019,18.0,11.0
Cantabria,Delitos sexuales,2018,15.0,9.0
Cantabria,Delitos sexuales,2017,11.0,9.0
Cantabria,Delitos sexuales,2016,18.0,11.0
Cantabria,Delitos sexuales,2015,17.0,12.0
Cantabria,Delitos sexuales,2014,12.0,5.0
Cantabria,Delitos sexuales,2013,4.0,3.0
Cantabria,Delitos sexuales,2012,6.0,4.0
Cantabria,Delitos sexuales,2011,7.0,4.0
Cantabria,Falsificación informática,2019,26.0,14.0
Cantabria,Falsificación informática,2018,23.0,9.0
Cantabria,Falsificación informática,2017,18.0,7.0
Cantabria,Falsificación informática,2016,22.0,12.0
Cantabria,Falsificación informática,2015,6.0,2.0
Cantabria,Falsificación informática,2014,9.0,5.0
Cantabria,Falsificación informática,2013,5.0,3.0
Cantabria,Falsificación informática,2012,7.0,5.0
Cantabria,Falsificación informática,2011,13.0,4.0
Cantabria,Fraude informático,2019,1766.0,230.0
Cantabria,Fraude informático,2018,1704.0,178.0
Cantabria,Fraude informático,2017,1419.0,191.0
Cantabria,Fraude informático,2016,1028.0,177.0
Cantabria,Fraude informático,2015,776.0,153.0
Cantabria,Fraude informático,2014,589.0,141.0
Cantabria,Fraude informático,2013,281.0,110.0
Cantabria,Fraude informático,2012,233.0,96.0
Cantabria,Fraude informático,2011,231.0,75.0
Cantabria,Interferencia en los datos y en el sistema,2019,21.0,1.0
Cantabria,Interferencia en los datos y en el sistema,2018,10.0,2.0
Cantabria,Interferencia en los datos y en el sistema,2017,18.0,1.0
Cantabria,Interferencia en los datos y en el sistema,2016,13.0,1.0
Cantabria,Interferencia en los datos y en el sistema,2015,8.0,0.0
Cantabria,Interferencia en los datos y en el sistema,2014,6.0,0.0
Cantabria,Interferencia en los datos y en el sistema,2013,5.0,2.0
Cantabria,Interferencia en los datos y en el sistema,2012,8.0,0.0
Cantabria,Interferencia en los datos y en el sistema,2011,6.0,0.0
Castilla y León,Acceso e interceptación ilícita,2019,130.0,48.0
Castilla y León,Acceso e interceptación ilícita,2018,148.0,40.0
Castilla y León,Acceso e interceptación ilícita,2017,106.0,37.0
Castilla y León,Acceso e interceptación ilícita,2016,136.0,41.0
Castilla y León,Acceso e interceptación ilícita,2015,104.0,35.0
Castilla y León,Acceso e interceptación ilícita,2014,63.0,27.0
Castilla y León,Acceso e interceptación ilícita,2013,61.0,34.0
Castilla y León,Acceso e interceptación ilícita,2012,50.0,17.0
Castilla y León,Acceso e interceptación ilícita,2011,48.0,21.0
Castilla y León,Amenazas y coacciones,2019,806.0,560.0
Castilla y León,Amenazas y coacciones,2018,832.0,541.0
Castilla y León,Amenazas y coacciones,2017,711.0,516.0
Castilla y León,Amenazas y coacciones,2016,743.0,513.0
Castilla y León,Amenazas y coacciones,2015,627.0,441.0
Castilla y León,Amenazas y coacciones,2014,620.0,481.0
Castilla y León,Amenazas y coacciones,2013,575.0,461.0
Castilla y León,Amenazas y coacciones,2012,622.0,475.0
Castilla y León,Amenazas y coacciones,2011,692.0,518.0
Castilla y León,Contra el honor,2019,90.0,58.0
Castilla y León,Contra el honor,2018,100.0,60.0
Castilla y León,Contra el honor,2017,97.0,61.0
Castilla y León,Contra el honor,2016,98.0,58.0
Castilla y León,Contra el honor,2015,141.0,86.0
Castilla y León,Contra el honor,2014,169.0,102.0
Castilla y León,Contra el honor,2013,171.0,101.0
Castilla y León,Contra el honor,2012,175.0,102.0
Castilla y León,Contra el honor,2011,171.0,88.0
Castilla y León,Contra la propiedad industrial/intelectual,2019,4.0,1.0
Castilla y León,Contra la propiedad industrial/intelectual,2018,33.0,32.0
Castilla y León,Contra la propiedad industrial/intelectual,2017,8.0,6.0
Castilla y León,Contra la propiedad industrial/intelectual,2016,5.0,2.0
Castilla y León,Contra la propiedad industrial/intelectual,2015,10.0,5.0
Castilla y León,Contra la propiedad industrial/intelectual,2014,6.0,3.0
Castilla y León,Contra la propiedad industrial/intelectual,2013,3.0,2.0
Castilla y León,Contra la propiedad industrial/intelectual,2012,6.0,4.0
Castilla y León,Contra la propiedad industrial/intelectual,2011,21.0,21.0
Castilla y León,Delitos sexuales,2019,91.0,69.0
Castilla y León,Delitos sexuales,2018,62.0,46.0
Castilla y León,Delitos sexuales,2017,61.0,45.0
Castilla y León,Delitos sexuales,2016,58.0,40.0
Castilla y León,Delitos sexuales,2015,44.0,25.0
Castilla y León,Delitos sexuales,2014,42.0,30.0
Castilla y León,Delitos sexuales,2013,21.0,11.0
Castilla y León,Delitos sexuales,2012,30.0,23.0
Castilla y León,Delitos sexuales,2011,24.0,15.0
Castilla y León,Falsificación informática,2019,303.0,92.0
Castilla y León,Falsificación informática,2018,263.0,88.0
Castilla y León,Falsificación informática,2017,245.0,58.0
Castilla y León,Falsificación informática,2016,170.0,47.0
Castilla y León,Falsificación informática,2015,99.0,42.0
Castilla y León,Falsificación informática,2014,68.0,33.0
Castilla y León,Falsificación informática,2013,56.0,20.0
Castilla y León,Falsificación informática,2012,36.0,11.0
Castilla y León,Falsificación informática,2011,42.0,13.0
Castilla y León,Fraude informático,2019,9464.0,1239.0
Castilla y León,Fraude informático,2018,6511.0,1032.0
Castilla y León,Fraude informático,2017,4606.0,914.0
Castilla y León,Fraude informático,2016,3370.0,759.0
Castilla y León,Fraude informático,2015,2411.0,655.0
Castilla y León,Fraude informático,2014,1874.0,594.0
Castilla y León,Fraude informático,2013,1403.0,484.0
Castilla y León,Fraude informático,2012,1172.0,413.0
Castilla y León,Fraude informático,2011,849.0,287.0
Castilla y León,Interferencia en los datos y en el sistema,2019,76.0,3.0
Castilla y León,Interferencia en los datos y en el sistema,2018,93.0,2.0
Castilla y León,Interferencia en los datos y en el sistema,2017,79.0,6.0
Castilla y León,Interferencia en los datos y en el sistema,2016,102.0,9.0
Castilla y León,Interferencia en los datos y en el sistema,2015,64.0,4.0
Castilla y León,Interferencia en los datos y en el sistema,2014,21.0,0.0
Castilla y León,Interferencia en los datos y en el sistema,2013,17.0,1.0
Castilla y León,Interferencia en los datos y en el sistema,2012,11.0,2.0
Castilla y León,Interferencia en los datos y en el sistema,2011,16.0,6.0
Castilla - La Mancha,Acceso e interceptación ilícita,2019,107.0,47.0
Castilla - La Mancha,Acceso e interceptación ilícita,2018,93.0,31.0
Castilla - La Mancha,Acceso e interceptación ilícita,2017,79.0,34.0
Castilla - La Mancha,Acceso e interceptación ilícita,2016,79.0,33.0
Castilla - La Mancha,Acceso e interceptación ilícita,2015,86.0,36.0
Castilla - La Mancha,Acceso e interceptación ilícita,2014,73.0,36.0
Castilla - La Mancha,Acceso e interceptación ilícita,2013,75.0,48.0
Castilla - La Mancha,Acceso e interceptación ilícita,2012,60.0,28.0
Castilla - La Mancha,Acceso e interceptación ilícita,2011,44.0,24.0
Castilla - La Mancha,Amenazas y coacciones,2019,628.0,419.0
Castilla - La Mancha,Amenazas y coacciones,2018,642.0,441.0
Castilla - La Mancha,Amenazas y coacciones,2017,591.0,435.0
Castilla - La Mancha,Amenazas y coacciones,2016,617.0,419.0
Castilla - La Mancha,Amenazas y coacciones,2015,586.0,413.0
Castilla - La Mancha,Amenazas y coacciones,2014,603.0,434.0
Castilla - La Mancha,Amenazas y coacciones,2013,568.0,441.0
Castilla - La Mancha,Amenazas y coacciones,2012,539.0,402.0
Castilla - La Mancha,Amenazas y coacciones,2011,591.0,426.0
Castilla - La Mancha,Contra el honor,2019,94.0,60.0
Castilla - La Mancha,Contra el honor,2018,90.0,62.0
Castilla - La Mancha,Contra el honor,2017,125.0,85.0
Castilla - La Mancha,Contra el honor,2016,134.0,96.0
Castilla - La Mancha,Contra el honor,2015,179.0,114.0
Castilla - La Mancha,Contra el honor,2014,187.0,125.0
Castilla - La Mancha,Contra el honor,2013,177.0,107.0
Castilla - La Mancha,Contra el honor,2012,163.0,97.0
Castilla - La Mancha,Contra el honor,2011,156.0,78.0
Castilla - La Mancha,Contra la propiedad industrial/intelectual,2019,4.0,3.0
Castilla - La Mancha,Contra la propiedad industrial/intelectual,2018,13.0,10.0
Castilla - La Mancha,Contra la propiedad industrial/intelectual,2017,9.0,8.0
Castilla - La Mancha,Contra la propiedad industrial/intelectual,2016,5.0,5.0
Castilla - La Mancha,Contra la propiedad industrial/intelectual,2015,7.0,4.0
Castilla - La Mancha,Contra la propiedad industrial/intelectual,2014,3.0,3.0
Castilla - La Mancha,Contra la propiedad industrial/intelectual,2013,4.0,4.0
Castilla - La Mancha,Contra la propiedad industrial/intelectual,2012,5.0,4.0
Castilla - La Mancha,Contra la propiedad industrial/intelectual,2011,7.0,7.0
Castilla - La Mancha,Delitos sexuales,2019,71.0,53.0
Castilla - La Mancha,Delitos sexuales,2018,72.0,44.0
Castilla - La Mancha,Delitos sexuales,2017,51.0,44.0
Castilla - La Mancha,Delitos sexuales,2016,43.0,40.0
Castilla - La Mancha,Delitos sexuales,2015,52.0,34.0
Castilla - La Mancha,Delitos sexuales,2014,29.0,26.0
Castilla - La Mancha,Delitos sexuales,2013,24.0,17.0
Castilla - La Mancha,Delitos sexuales,2012,23.0,22.0
Castilla - La Mancha,Delitos sexuales,2011,30.0,17.0
Castilla - La Mancha,Falsificación informática,2019,284.0,106.0
Castilla - La Mancha,Falsificación informática,2018,277.0,114.0
Castilla - La Mancha,Falsificación informática,2017,226.0,88.0
Castilla - La Mancha,Falsificación informática,2016,178.0,59.0
Castilla - La Mancha,Falsificación informática,2015,146.0,55.0
Castilla - La Mancha,Falsificación informática,2014,144.0,50.0
Castilla - La Mancha,Falsificación informática,2013,114.0,41.0
Castilla - La Mancha,Falsificación informática,2012,105.0,36.0
Castilla - La Mancha,Falsificación informática,2011,114.0,46.0
Castilla - La Mancha,Fraude informático,2019,6445.0,1045.0
Castilla - La Mancha,Fraude informático,2018,4789.0,873.0
Castilla - La Mancha,Fraude informático,2017,2796.0,695.0
Castilla - La Mancha,Fraude informático,2016,2075.0,643.0
Castilla - La Mancha,Fraude informático,2015,2012.0,654.0
Castilla - La Mancha,Fraude informático,2014,1509.0,501.0
Castilla - La Mancha,Fraude informático,2013,1255.0,524.0
Castilla - La Mancha,Fraude informático,2012,1092.0,353.0
Castilla - La Mancha,Fraude informático,2011,861.0,320.0
Castilla - La Mancha,Interferencia en los datos y en el sistema,2019,54.0,4.0
Castilla - La Mancha,Interferencia en los datos y en el sistema,2018,30.0,3.0
Castilla - La Mancha,Interferencia en los datos y en el sistema,2017,56.0,2.0
Castilla - La Mancha,Interferencia en los datos y en el sistema,2016,53.0,4.0
Castilla - La Mancha,Interferencia en los datos y en el sistema,2015,25.0,7.0
Castilla - La Mancha,Interferencia en los datos y en el sistema,2014,16.0,3.0
Castilla - La Mancha,Interferencia en los datos y en el sistema,2013,10.0,2.0
Castilla - La Mancha,Interferencia en los datos y en el sistema,2012,9.0,1.0
Castilla - La Mancha,Interferencia en los datos y en el sistema,2011,11.0,2.0
Cataluña,Acceso e interceptación ilícita,2019,508.0,93.0
Cataluña,Acceso e interceptación ilícita,2018,475.0,108.0
Cataluña,Acceso e interceptación ilícita,2017,516.0,121.0
Cataluña,Acceso e interceptación ilícita,2016,532.0,117.0
Cataluña,Acceso e interceptación ilícita,2015,407.0,92.0
Cataluña,Acceso e interceptación ilícita,2014,26.0,8.0
Cataluña,Acceso e interceptación ilícita,2013,10.0,6.0
Cataluña,Acceso e interceptación ilícita,2012,17.0,6.0
Cataluña,Acceso e interceptación ilícita,2011,17.0,4.0
Cataluña,Amenazas y coacciones,2019,507.0,155.0
Cataluña,Amenazas y coacciones,2018,558.0,162.0
Cataluña,Amenazas y coacciones,2017,355.0,137.0
Cataluña,Amenazas y coacciones,2016,385.0,113.0
Cataluña,Amenazas y coacciones,2015,322.0,132.0
Cataluña,Amenazas y coacciones,2014,39.0,23.0
Cataluña,Amenazas y coacciones,2013,35.0,25.0
Cataluña,Amenazas y coacciones,2012,33.0,21.0
Cataluña,Amenazas y coacciones,2011,20.0,10.0
Cataluña,Contra el honor,2019,28.0,9.0
Cataluña,Contra el honor,2018,35.0,13.0
Cataluña,Contra el honor,2017,42.0,13.0
Cataluña,Contra el honor,2016,32.0,16.0
Cataluña,Contra el honor,2015,85.0,49.0
Cataluña,Contra el honor,2014,11.0,4.0
Cataluña,Contra el honor,2013,18.0,9.0
Cataluña,Contra el honor,2012,19.0,11.0
Cataluña,Contra el honor,2011,14.0,5.0
Cataluña,Contra la propiedad industrial/intelectual,2019,17.0,8.0
Cataluña,Contra la propiedad industrial/intelectual,2018,47.0,38.0
Cataluña,Contra la propiedad industrial/intelectual,2017,24.0,19.0
Cataluña,Contra la propiedad industrial/intelectual,2016,23.0,13.0
Cataluña,Contra la propiedad industrial/intelectual,2015,33.0,27.0
Cataluña,Contra la propiedad industrial/intelectual,2014,60.0,55.0
Cataluña,Contra la propiedad industrial/intelectual,2013,39.0,36.0
Cataluña,Contra la propiedad industrial/intelectual,2012,20.0,16.0
Cataluña,Contra la propiedad industrial/intelectual,2011,26.0,22.0
Cataluña,Delitos sexuales,2019,218.0,118.0
Cataluña,Delitos sexuales,2018,218.0,127.0
Cataluña,Delitos sexuales,2017,111.0,72.0
Cataluña,Delitos sexuales,2016,108.0,86.0
Cataluña,Delitos sexuales,2015,166.0,112.0
Cataluña,Delitos sexuales,2014,92.0,58.0
Cataluña,Delitos sexuales,2013,41.0,37.0
Cataluña,Delitos sexuales,2012,74.0,61.0
Cataluña,Delitos sexuales,2011,73.0,65.0
Cataluña,Falsificación informática,2019,130.0,24.0
Cataluña,Falsificación informática,2018,103.0,31.0
Cataluña,Falsificación informática,2017,123.0,49.0
Cataluña,Falsificación informática,2016,113.0,34.0
Cataluña,Falsificación informática,2015,97.0,32.0
Cataluña,Falsificación informática,2014,56.0,24.0
Cataluña,Falsificación informática,2013,53.0,17.0
Cataluña,Falsificación informática,2012,47.0,15.0
Cataluña,Falsificación informática,2011,45.0,13.0
Cataluña,Fraude informático,2019,40016.0,2298.0
Cataluña,Fraude informático,2018,36808.0,2641.0
Cataluña,Fraude informático,2017,26574.0,2270.0
Cataluña,Fraude informático,2016,18077.0,1822.0
Cataluña,Fraude informático,2015,15791.0,1617.0
Cataluña,Fraude informático,2014,593.0,346.0
Cataluña,Fraude informático,2013,585.0,366.0
Cataluña,Fraude informático,2012,583.0,310.0
Cataluña,Fraude informático,2011,491.0,246.0
Cataluña,Interferencia en los datos y en el sistema,2019,153.0,8.0
Cataluña,Interferencia en los datos y en el sistema,2018,125.0,8.0
Cataluña,Interferencia en los datos y en el sistema,2017,136.0,12.0
Cataluña,Interferencia en los datos y en el sistema,2016,164.0,5.0
Cataluña,Interferencia en los datos y en el sistema,2015,203.0,7.0
Cataluña,Interferencia en los datos y en el sistema,2014,3.0,0.0
Cataluña,Interferencia en los datos y en el sistema,2013,11.0,2.0
Cataluña,Interferencia en los datos y en el sistema,2012,10.0,4.0
Cataluña,Interferencia en los datos y en el sistema,2011,2.0,1.0
Comunidad Valenciana,Acceso e interceptación ilícita,2019,342.0,104.0
Comunidad Valenciana,Acceso e interceptación ilícita,2018,300.0,311.0
Comunidad Valenciana,Acceso e interceptación ilícita,2017,291.0,91.0
Comunidad Valenciana,Acceso e interceptación ilícita,2016,301.0,101.0
Comunidad Valenciana,Acceso e interceptación ilícita,2015,255.0,82.0
Comunidad Valenciana,Acceso e interceptación ilícita,2014,211.0,63.0
Comunidad Valenciana,Acceso e interceptación ilícita,2013,184.0,63.0
Comunidad Valenciana,Acceso e interceptación ilícita,2012,190.0,61.0
Comunidad Valenciana,Acceso e interceptación ilícita,2011,137.0,39.0
Comunidad Valenciana,Amenazas y coacciones,2019,1575.0,1056.0
Comunidad Valenciana,Amenazas y coacciones,2018,1602.0,1052.0
Comunidad Valenciana,Amenazas y coacciones,2017,1525.0,1015.0
Comunidad Valenciana,Amenazas y coacciones,2016,1445.0,911.0
Comunidad Valenciana,Amenazas y coacciones,2015,1264.0,851.0
Comunidad Valenciana,Amenazas y coacciones,2014,1240.0,892.0
Comunidad Valenciana,Amenazas y coacciones,2013,1119.0,805.0
Comunidad Valenciana,Amenazas y coacciones,2012,1152.0,785.0
Comunidad Valenciana,Amenazas y coacciones,2011,1178.0,722.0
Comunidad Valenciana,Contra el honor,2019,216.0,133.0
Comunidad Valenciana,Contra el honor,2018,186.0,128.0
Comunidad Valenciana,Contra el honor,2017,221.0,145.0
Comunidad Valenciana,Contra el honor,2016,212.0,145.0
Comunidad Valenciana,Contra el honor,2015,324.0,198.0
Comunidad Valenciana,Contra el honor,2014,326.0,201.0
Comunidad Valenciana,Contra el honor,2013,292.0,190.0
Comunidad Valenciana,Contra el honor,2012,296.0,177.0
Comunidad Valenciana,Contra el honor,2011,258.0,136.0
Comunidad Valenciana,Contra la propiedad industrial/intelectual,2019,31.0,16.0
Comunidad Valenciana,Contra la propiedad industrial/intelectual,2018,46.0,36.0
Comunidad Valenciana,Contra la propiedad industrial/intelectual,2017,22.0,20.0
Comunidad Valenciana,Contra la propiedad industrial/intelectual,2016,17.0,11.0
Comunidad Valenciana,Contra la propiedad industrial/intelectual,2015,18.0,16.0
Comunidad Valenciana,Contra la propiedad industrial/intelectual,2014,19.0,13.0
Comunidad Valenciana,Contra la propiedad industrial/intelectual,2013,18.0,14.0
Comunidad Valenciana,Contra la propiedad industrial/intelectual,2012,25.0,20.0
Comunidad Valenciana,Contra la propiedad industrial/intelectual,2011,23.0,16.0
Comunidad Valenciana,Delitos sexuales,2019,238.0,167.0
Comunidad Valenciana,Delitos sexuales,2018,170.0,125.0
Comunidad Valenciana,Delitos sexuales,2017,188.0,117.0
Comunidad Valenciana,Delitos sexuales,2016,190.0,136.0
Comunidad Valenciana,Delitos sexuales,2015,215.0,186.0
Comunidad Valenciana,Delitos sexuales,2014,145.0,105.0
Comunidad Valenciana,Delitos sexuales,2013,127.0,90.0
Comunidad Valenciana,Delitos sexuales,2012,107.0,70.0
Comunidad Valenciana,Delitos sexuales,2011,135.0,69.0
Comunidad Valenciana,Falsificación informática,2019,656.0,200.0
Comunidad Valenciana,Falsificación informática,2018,480.0,183.0
Comunidad Valenciana,Falsificación informática,2017,466.0,177.0
Comunidad Valenciana,Falsificación informática,2016,491.0,164.0
Comunidad Valenciana,Falsificación informática,2015,345.0,108.0
Comunidad Valenciana,Falsificación informática,2014,264.0,70.0
Comunidad Valenciana,Falsificación informática,2013,237.0,55.0
Comunidad Valenciana,Falsificación informática,2012,270.0,67.0
Comunidad Valenciana,Falsificación informática,2011,339.0,51.0
Comunidad Valenciana,Fraude informático,2019,15758.0,2430.0
